,locationId,name,chain,address.addressLine1,address.city,address.state,address.zipCode,geolocation.latitude,geolocation.longitude
0,03483321,Shell Company,SHELL COMPANY,2100 HAMILTON ST,HOUSTON,TX,77003,29.743742,-95.36425
1,03483238,Shell Company,SHELL COMPANY,2802 WASHINGTON AVE,HOUSTON,TX,77007,29.768955,-95.387837
2,03482608,Shell Company,SHELL COMPANY,3505 GULF FWY,HOUSTON,TX,77003,29.735895,-95.346769
3,03482968,Shell Company,SHELL COMPANY,1010 W ALABAMA ST,HOUSTON,TX,77006,29.738969,-95.391593
4,03400017,Kroger - Studemont,KROGER,1440 Studemont Street,Houston,TX,77007,29.7732578,-95.3897855
5,03400223,Kroger - Polk,KROGER,4000 Polk St,Houston,TX,77023,29.7397664,-95.3404338
6,03482498,Shell Company,SHELL COMPANY,920 RICHMOND AVE,HOUSTON,TX,77006,29.734746,-95.390805
7,03482867,Shell Company,SHELL COMPANY,3423 KATY FWY,HOUSTON,TX,77007,29.775953,-95.394693
8,03400355,Kroger - River Oaks,KROGER,1938 W Gray St,Houston,TX,77019,29.7540862,-95.4054526
9,03482989,Shell Company,SHELL COMPANY,2819 QUITMAN ST,HOUSTON,TX,77026,29.783975,-95.340786
10,03483185,Shell Company,SHELL COMPANY,511 LOCKWOOD DR,HOUSTON,TX,77011,29.751386,-95.323281
11,03482537,Shell Company,SHELL COMPANY,319 SHEPHERD DR,HOUSTON,TX,77007,29.765825,-95.409595
12,03483278,Shell Company,SHELL COMPANY,6019 ALMEDA RD,HOUSTON,TX,77004,29.713864,-95.381552
13,03482582,Shell Company,SHELL COMPANY,4740 KATY FWY,HOUSTON,TX,77007,29.778254,-95.409243
14,03483385,Shell Company,SHELL COMPANY,N. MCREGOR AND SCOTT,HOUSTON,TX,77004,29.71048,-95.356424
15,03483125,Shell Company,SHELL COMPANY,5601 MEMORIAL DR,HOUSTON,TX,77007,29.761108,-95.418824
16,03482990,Shell Company,SHELL COMPANY,3013 COLLINGSWORTH ST,HOUSTON,TX,77026,29.7942,-95.338728
17,03482977,Shell Company,SHELL COMPANY,5440 I 10 EAST,HOUSTON,TX,77020,29.773668,-95.315932
18,03483153,Shell Company,SHELL COMPANY,2525 SOUTHWEST FWY,HOUSTON,TX,77098,29.729914,-95.418118
19,03483234,Shell Company,SHELL COMPANY,3936 KIRBY DR,HOUSTON,TX,77098,29.731251,-95.419113
20,03400312,Kroger - Shepherd,KROGER,1035 N Shepherd Dr,Houston,TX,77008,29.7896671,-95.4111566
21,03483338,Shell Company,SHELL COMPANY,3250 OLD SPANISH TRAIL,HOUSTON,TX,77021,29.700552,-95.376486
22,03483208,Shell Company,SHELL COMPANY,707 WAYSIDE DR,HOUSTON,TX,77011,29.741366,-95.304669
23,03400609,Kroger - Heights Plaza,KROGER,239 W 20Th St,Houston,TX,77008,29.8046382,-95.4004819
24,03483048,Shell Company,SHELL COMPANY,718 NORTH LOOP E,HOUSTON,TX,77009,29.81342,-95.361657
25,03483159,Shell Company,SHELL COMPANY,4002 LOCKWOOD DR,HOUSTON,TX,77026,29.796742,-95.316663
26,03400314,Kroger - Buffalo Speedway,KROGER,5150 Buffalo Speedway,Houston,TX,77005,29.7271706,-95.4308336
27,03482799,Shell Company,SHELL COMPANY,2302 W HOLCOMBE BLVD,HOUSTON,TX,77030,29.706488,-95.412962
28,03482558,Shell Company,SHELL COMPANY,2540 WEST HOLCOMBE BLVD,HOUSTON,TX,77030,29.7065,-95.418045
29,03482472,Shell Company,SHELL COMPANY,3903 SAN FELIPE ST,HOUSTON,TX,77027,29.746506,-95.441984
30,03482841,Shell Company,SHELL COMPANY,7604 EAST FWY,HOUSTON,TX,77020,29.777092,-95.290838
31,03483126,Shell Company,SHELL COMPANY,801 NORTH LOOP W,HOUSTON,TX,77008,29.812259,-95.412776
32,03482916,Shell Company,SHELL COMPANY,3939 SOUTHWEST FWY,HOUSTON,TX,77027,29.728187,-95.440884
33,03482900,Shell Company,SHELL COMPANY,6141 SOUTH LOOP E,HOUSTON,TX,77087,29.6953,-95.319914
34,03400740,Kroger - Kirby,KROGER,7747 Kirby Dr,Houston,TX,77030,29.6958915,-95.4154996
35,03483407,Shell Company,SHELL COMPANY,1210 EAST CROSSTIMBERS ST,HOUSTON,TX,77022,29.828832,-95.356364
36,03482556,Shell Company,SHELL COMPANY,1336 CROSSTIMBERS ST,HOUSTON,TX,77022,29.828288,-95.381667
37,03483309,Shell Company,SHELL COMPANY,3650 W 11TH ST,HOUSTON,TX,77008,29.789399,-95.443042
38,03482470,Shell Company,SHELL COMPANY,8101 EAST FWY,HOUSTON,TX,77029,29.778683,-95.28367
39,03482934,Shell Company,SHELL COMPANY,7401 CULLEN BLVD,HOUSTON,TX,77051,29.6799,-95.355571
40,03482927,Shell Company,SHELL COMPANY,6929 NORTH LOOP E,HOUSTON,TX,77028,29.808436,-95.302373
41,03482953,Shell Company,SHELL COMPANY,4400 YALE ST,HOUSTON,TX,77018,29.828452,-95.399486
42,03482667,Shell Company,SHELL COMPANY,8610 ALMEDA RD,HOUSTON,TX,77054,29.679375,-95.393929
43,03483280,Shell Company,SHELL COMPANY,8602 MEMORIAL DR,HOUSTON,TX,77024,29.773561,-95.457059
44,03482545,Shell Company,SHELL COMPANY,7025 SOUTH LOOP EAST,HOUSTON,TX,77087,29.696469,-95.301192
45,03482970,Shell Company,SHELL COMPANY,7001 GULF FWY,HOUSTON,TX,77087,29.702307,-95.294797
46,03483116,Shell Company,SHELL COMPANY,1620 S LOOP W,HOUSTON,TX,77054,29.679697,-95.402495
47,03482864,Shell Company,SHELL COMPANY,2602 WEST LOOP S,HOUSTON,TX,77027,29.740557,-95.459066
48,03482491,Shell Company,SHELL COMPANY,4904 AIRLINE DR,HOUSTON,TX,77022,29.837428,-95.384103
49,03482734,Shell Company,SHELL COMPANY,2502 NORTH LOOP W,HOUSTON,TX,77092,29.808858,-95.442723
50,03482965,Shell Company,SHELL COMPANY,1102 BROADWAY ST,HOUSTON,TX,77012,29.715293,-95.278596
51,03483362,Shell Company,SHELL COMPANY,5001 E CROSSTIMBERS ST,HOUSTON,TX,77016,29.831374,-95.318361
52,03482909,Shell Company,SHELL COMPANY,4401 W 18TH ST,HOUSTON,TX,77092,29.801225,-95.452394
53,03483018,Shell Company,SHELL COMPANY,9009 CLINTON DR,HOUSTON,TX,77029,29.739662,-95.267062
54,03482682,Shell Company,SHELL COMPANY,1910 BROADWAY ST,HOUSTON,TX,77012,29.708617,-95.278468
55,03482460,Shell Company,SHELL COMPANY,8521 STELLA LINK RD,HOUSTON,TX,77025,29.691359,-95.439733
56,03483181,Shell Company,SHELL COMPANY,5910 WEST LOOP SOUTH,BELLAIRE,TX,77401,29.716987,-95.460984
57,03483080,Shell Company,SHELL COMPANY,9103 JENSEN DR,HOUSTON,TX,77093,29.843636,-95.343143
58,03483161,Shell Company,SHELL COMPANY,4303 ELLA BLVD,HOUSTON,TX,77018,29.828521,-95.429903
59,03482839,Shell Company,SHELL COMPANY,8037 MARTIN LUTHER KING J,HOUSTON,TX,77033,29.66672,-95.336816
60,03400356,Kroger - Oak Forest,KROGER,1352 W 43Rd St,Houston,TX,77018,29.828825,-95.4320364
61,03483001,Shell Company,SHELL COMPANY,301 W TIDWELL RD,HOUSTON,TX,77091,29.845283,-95.403236
62,03483195,Shell Company,SHELL COMPANY,3615 TIDWELL RD,HOUSTON,TX,77093,29.849078,-95.332593
63,03482754,Shell Company,SHELL COMPANY,3202 CHIMNEY ROCK RD,HOUSTON,TX,77056,29.731118,-95.476692
64,03483033,Shell Company,SHELL COMPANY,5602 SW FWY,HOUSTON,TX,77057,29.726497,-95.47675
65,03483073,Shell Company,SHELL COMPANY,5605 N SHEPHERD DR,HOUSTON,TX,77091,29.847526,-95.41157
66,03482971,Shell Company,SHELL COMPANY,2917 MANGUM RD,HOUSTON,TX,77092,29.814979,-95.45974
67,03483412,Shell Company,SHELL COMPANY,9954 STELLA LINK RD,HOUSTON,TX,77025,29.673584,-95.44012
68,03400156,Kroger - Telephone Road,KROGER,6322 Telephone Rd,Houston,TX,77087,29.674677,-95.2910216
69,03482890,Shell Company,SHELL COMPANY,10230 EAST FREEWAY,JACINTO CITY,TX,77029,29.773078,-95.247925
70,03482848,Shell Company,SHELL COMPANY,3944 BROADWAY AND I 45,HOUSTON,TX,77087,29.68405,-95.277792
71,03483303,Shell Company,SHELL COMPANY,719 E PARKER RD,HOUSTON,TX,77076,29.85994,-95.388053
72,03482919,Shell Company,SHELL COMPANY,6451 NORTH FWY,HOUSTON,TX,77076,29.858721,-95.402747
73,03483145,Shell Company,SHELL COMPANY,7101 TIDWELL RD,HOUSTON,TX,77016,29.848766,-95.301646
74,03482765,Shell Company,SHELL COMPANY,11111 W HARDY RD,HOUSTON,TX,77076,29.864467,-95.364219
75,03483166,Shell Company,SHELL COMPANY,8115 GULF FWY,HOUSTON,TX,77017,29.681546,-95.272933
76,03483425,Shell Company,SHELL COMPANY,11203 NORTHWEST FREEWAY,HOUSTON,TX,77092,29.819658,-95.470044
77,03482692,Shell Company,SHELL COMPANY,6155 SOUTHWEST FWY,HOUSTON,TX,77057,29.724089,-95.489688
78,03400346,Kroger - Wirt,KROGER,1505 Wirt Rd,Houston,TX,77055,29.7967052,-95.4864659
79,03482932,Shell Company,SHELL COMPANY,8235 BROADWAY ST,HOUSTON,TX,77061,29.672704,-95.276783
80,03482829,Shell Company,SHELL COMPANY,8525 KATY FWY,HOUSTON,TX,77024,29.783319,-95.493619
81,03482522,Shell Company,SHELL COMPANY,5270 BEECHNUT ST,HOUSTON,TX,77096,29.689286,-95.475685
82,03482459,Shell Company,SHELL COMPANY,11603 NORTHWEST FWY,HOUSTON,TX,77092,29.823334,-95.473879
83,03483069,Shell Company,SHELL COMPANY,11037 MARKET STREET RD,HOUSTON,TX,77029,29.767942,-95.234174
84,03400309,Kroger - Voss,KROGER,1801 S Voss Rd,Houston,TX,77057,29.7482786,-95.5001017
85,03483263,Shell Company,SHELL COMPANY,2322 LITTLE YORK RD,HOUSTON,TX,77093,29.870607,-95.349496
86,03482671,Shell Company,SHELL COMPANY,1632 S VOSS RD,HOUSTON,TX,77057,29.750127,-95.501495
87,03482634,Shell Company,SHELL COMPANY,6100 BELLAIRE BLVD,HOUSTON,TX,77081,29.705857,-95.489146
88,03482605,Shell Company,SHELL COMPANY,203 E LITTLE YORK RD,HOUSTON,TX,77076,29.86998,-95.397805
89,03400313,Kroger - Meyerland,KROGER,10306 S Post Oak Rd,Houston,TX,77035,29.6693074,-95.4639306
90,03482780,Shell Company,SHELL COMPANY,7480 N SHEPHERD DR,HOUSTON,TX,77091,29.869034,-95.412077
91,03483370,Shell Company,SHELL COMPANY,4590 W TIDWELL RD,HOUSTON,TX,77091,29.846289,-95.458133
92,03483367,Shell Company,SHELL COMPANY,8190 KATY FWY,HOUSTON,TX,77024,29.78413,-95.502385
93,03483133,Shell Company,SHELL COMPANY,3141 SW FWY,HOUSTON,TX,77098,29.715959,-95.498992
94,03482988,Shell Company,SHELL COMPANY,6601 SW FWY,HOUSTON,TX,77074,29.715951,-95.498996
95,03483121,Shell Company,SHELL COMPANY,11997 MAIN ST,HOUSTON,TX,77035,29.653109,-95.446062
96,03482584,Shell Company,SHELL COMPANY,10801 S POST OAK RD,HOUSTON,TX,77035,29.663964,-95.463735
97,03482615,Shell Company,SHELL COMPANY,8525 GULF FWY,HOUSTON,TX,77017,29.669114,-95.261614
98,03483162,Shell Company,SHELL COMPANY,12110 NORTHWEST FWY,HOUSTON,TX,77092,29.833567,-95.482892
99,03483175,Shell Company,SHELL COMPANY,570 MAXEY RD,HOUSTON,TX,77013,29.784513,-95.219049
100,03482776,Shell Company,SHELL COMPANY,11967 ALDINE WESTFIELD RD,HOUSTON,TX,77093,29.887062,-95.355208
