name,id,types,type
0,Kroger® Vitamin D Whole Milk,1111040101,['whole'],whole
1,Kroger® 2% Reduced Fat Milk,1111041600,['fat'],fat
2,Kroger® 1% Lowfat Milk,1111041660,['fat'],fat
3,Kroger® Vitamin D Whole Milk,1111040601,['whole'],whole
4,Kroger® Fat Free Skim Milk,1111042315,['fat'],fat
5,Simple Truth Organic® 2% Reduced Fat Milk,1111042852,"['fat', 'organic']",fat
6,Kroger® 1% Lowfat Milk,1111041661,['fat'],fat
7,Kroger® Fat Free Skim Milk,1111042305,['fat'],fat
8,Kroger® 2% Reduced Fat Milk,1111050323,['fat'],fat
9,Fairlife 2% Reduced Fat Ultra Filtered Lactose Free Milk,85631200277,"['lactose', 'fat']",lactose
10,Simple Truth Organic® Whole Milk,1111042850,"['whole', 'organic']",whole
11,Simple Truth Organic® 1% Low Fat Milk,1111042854,"['fat', 'organic']",fat
12,Simple Truth Organic™ Whole Milk,1111042908,"['whole', 'organic']",whole
13,A2 Ultra-Pasteurized Whole Milk,81326702000,['whole'],whole
14,A2 Milk 2% Reduced Fat Milk,81326702007,['fat'],fat
15,Springdale® Vitamin D Whole Milk,1111040121,['whole'],whole
16,Springdale 2% Reduced Fat Milk,1111041720,['fat'],fat
17,Kroger®  Vitamin D Whole Milk,1111050274,['whole'],whole
18,Kroger® Vitamin D Whole Milk,1111050322,['whole'],whole
19,Kroger 2% Reduced Fat Milk,1111050277,['fat'],fat
20,Kroger® Lactose Free 2% Reduced Fat Milk,1111082556,"['lactose', 'fat']",lactose
21,Fairlife Fat Free Ultra Filtered Lactose Free Milk,85631200275,"['lactose', 'fat']",lactose
22,Nesquik Strawberry Lowfat Milk,2800051575,['fat'],fat
23,Lactaid 100% Lactose Free 2% Reduced Fat Milk,4138309072,"['lactose', 'fat']",lactose
24,Fairlife Chocolate 2% Reduced Fat Ultra-Filtered Lactose Free Milk,85631200279,"['chocolate', 'lactose', 'fat']",chocolate
25,Kroger® Lactose Free Vitamin D Milk,1111085333,['lactose'],lactose
26,Kroger® Lactose Free Calcium Enriched 2% Milk,1111081818,['lactose'],lactose
27,Fairlife Whole Ultra-Filtered Lactose Free Milk,81162002016,"['lactose', 'whole']",lactose
28,Lactaid Lactose Free 2% Reduced Fat Milk,4138309010,"['lactose', 'fat']",lactose
29,Lactaid 100% Lactose Free Whole Milk,4138309036,"['lactose', 'whole']",lactose
30,Lactaid 100% Lactose Free Whole Milk,4138309073,"['lactose', 'whole']",lactose
31,Kroger® Lactose Free Calcium Enriched Fat Free Milk,1111085314,"['lactose', 'fat']",lactose
32,Lactaid 100% Lactose Free 1% Low Fat Milk,4138309022,"['lactose', 'fat']",lactose
33,Kroger® CARBmaster® Ultra Filtered Non-Fat Original Milk,1111008303,['fat'],fat
34,Kroger® Lactose Free 1% Low Fat Milk,1111089282,"['lactose', 'fat']",lactose
35,Springdale® 1% Lowfat Milk,1111041650,['fat'],fat
36,Kroger® Fat Free Skim Milk,1111050325,['fat'],fat
37,Kroger® 1% Lowfat Milk,1111050324,['fat'],fat
38,Fairlife DHA Omega-3 Ultra-Filtered Whole Milk,81162002138,['whole'],whole
39,Simple Truth Organic® Whole Milk,1111004989,"['whole', 'organic']",whole
40,Springdale® Fat Free Skim Milk,1111042345,['fat'],fat
41,Kroger® Lactose Free 1% Chocolate Milk,1111079809,"['chocolate', 'lactose']",chocolate
42,Lactaid 100% Lactose Free Fat Free Milk,4138309070,"['lactose', 'fat']",lactose
43,Kroger® Fat Free Skim Milk Bottle,1111050278,['fat'],fat
44,Lactaid 100% Lactose Free Fat Free Milk,4138309043,"['lactose', 'fat']",lactose
45,Maple Hill Organic 100% Grassfed Whole Milk,85508800546,"['whole', 'organic']",whole
46,Simple Truth Organic® 100% Grass-Fed 2% Milk,1111004990,['organic'],organic
47,Promised Land Dairy Very Berry Strawberry Whole Milk,76352800022,['whole'],whole
48,Borden Whole Vitamin D Milk,81547301032,['whole'],whole
49,Kroger®  .5% Low Fat Milk,1111042111,['fat'],fat
50,Borden Whole Vitamin D Milk,81547301037,['whole'],whole
51,Kroger® Fat Free Skim Milk,68692400160,['fat'],fat
52,Kroger 1% Lowfat Milk,68692400076,['fat'],fat
53,Kroger 2% Reduced Fat Milk,68692400071,['fat'],fat
54,Kroger Vitamin D Whole Milk,68692400037,['whole'],whole
55,Kroger 1% Low Fat Milk,68692400077,['fat'],fat
56,Kroger Vitamin D Whole Milk,68692400005,['whole'],whole
57,Kroger® Fat Free Skim Milk,68692400157,['fat'],fat
58,Borden Whole Vitamin D Milk,81547301047,['whole'],whole
59,Borden Whole Vitamin D Milk,81547301042,['whole'],whole
60,Horizon Organic Whole Milk,3663207112,"['whole', 'organic']",whole
61,Dairy Pure 2% Reduced Fat Milk,4190007986,['fat'],fat
62,Horizon Organic Whole Milk,3663207127,"['whole', 'organic']",whole
63,Springdale 1/2% Lowfat Milk,1111042051,['fat'],fat
64,Borden 2% Reduced Fat Milk,81547301038,['fat'],fat
65,Borden 2% Reduced Fat Milk,81547301033,['fat'],fat
66,Borden 2% Reduced Fat Milk,81547301043,['fat'],fat
67,Borden 2% Reduced Fat Milk,81547301048,['fat'],fat
68,Promised Land Dairy Vitamin D Ultra-Pasteurized Whole Milk,76352800006,['whole'],whole
69,Fairlife 2% Reduced Fat Ultra-Filtered Milk,81162002205,['fat'],fat
70,Promised Land Dairy 2% Reduced Fat Milk,76352800020,['fat'],fat
71,Good Moo'd 2% Reduced Fat Milk,81162002253,['fat'],fat
72,Borden Hi-Protein 2% Reduced Fat Milk,81547301688,"['fat', 'protein']",fat
73,Good Moo'd Whole Milk,81162002254,['whole'],whole
74,Borden Hi-Protein 2% Reduced Fat Milk,81547301689,"['fat', 'protein']",fat
75,LALA Vitamin D Whole Milk,88303800001,['whole'],whole
76,Borden 1% Lowfat Milk,81547301044,['fat'],fat
77,Borden Fat Free Skim Milk,81547301045,['fat'],fat
78,Lala 2% Milk,88303800050,['other'],other
79,Borden State Fair Banana Taffy Whole Milk,81547301719,['whole'],whole
80,Sproud Plant Based Barista Milk,81003226002,['other'],other
81,Better Than Milk Organic Unsweetened Oat Drink,4164807985,"['oat', 'organic']",oat
82,Better Than Milk Organic Unsweetened Almond Drink,4164807988,"['almond', 'organic']",almond
83,Better Than Milk Organic Unsweetened Rice Drink,4164807986,['organic'],organic
84,Better Than Milk Organic Almond Drink,4164807984,"['almond', 'organic']",almond
85,Better Than Milk Hazelnut Organic Rice Drink,4164807987,['organic'],organic
86,Simple Truth Organic® Fat Free Milk,1111042856,"['fat', 'organic']",fat
87,Simple Truth Organic™ 2% Reduced Fat Milk,1111042902,"['fat', 'organic']",fat
88,Simple Truth Organic™ 2% Reduced Fat Milk with DHA Omega-3,1111042861,"['fat', 'organic']",fat
89,Simple Truth Organic™ Whole Milk with DHA Omega-3,1111042858,"['whole', 'organic']",whole
90,Horizon Organic Vitamin D Whole Milk,74236526445,"['whole', 'organic']",whole
91,Simple Truth Organic® Lactose Free 2% Reduced Fat Milk,1111050438,"['lactose', 'fat', 'organic']",lactose
92,Horizon Organic 2% Reduced Fat Milk,74236526425,"['fat', 'organic']",fat
93,Simple Truth Organic® Lactose Free Whole Milk,1111050434,"['lactose', 'whole', 'organic']",lactose
94,Horizon Organic DHA Omega-3 Whole Milk,74236526447,"['whole', 'organic']",whole
95,Meyenberg Vitamin D Goat Milk,7290400003,['oat'],oat
96,Horizon Organic DHA Omega-3 2% Reduced Fat Milk,74236526435,"['fat', 'organic']",fat
97,Horizon Organic Grassfed Whole Vitamin D Milk,74236500707,"['whole', 'organic']",whole
98,Horizon Organic Fat-Free Milk,74236526405,"['fat', 'organic']",fat
99,Simple Truth Organic® Whole Chocolate Milk,1111050075,"['chocolate', 'whole', 'organic']",chocolate
100,Horizon Organic Chocolate Lowfat Milk,74236520885,"['chocolate', 'fat', 'organic']",chocolate
